Tweet,SLO
australias enviro minister everyone slomention no definite link between slohashtag from adani mine amp slohashtag slourl,social
from the archive  shenhua mine the federal government could have chosen farming over coal slourl,social
 slomention successive governments have failed to step in amp do what is needed to protect the slohashtag slohashtag slourl,social
 slomention nemo on the election trail getting real results a commitment to no public  for adani slohashtag slohashtag slourl,social
 slomention from the archive  shenhua mine the federal government could have chosen farming over coal slourl,economic
 slomention slohashtag no definite link between slohashtag from slohashtag mine amp slohashtag slohashtag slohashtag slourl https…,social
 slomention 75 surveyed in slohashtag want slohashtag subsidies redirected to public services slohashtag slohashtag slourl,social
 slomention your mummy knows youre lying gregtsk tskgreg hunt no definite link between coal from adani mine amp climate change slourl,social
slomention the slohashtag is in danger of being destroyed where are you why are you not doing your job slohashtag slohashtag slohashtag,social
 slomention this is an asset not just for those who farm this area now but for those who will in the future slohashtag slohashtag https…,social
lnp reef promises s total joke without ending all new coal mines slohashtag slohashtag slohashtag slourl,social
the slohashtag crops in both winter amp summer it yields 40 above the national average slohashtag slohashtag slourl,social
slomention labor wont give money to the adani coal mine slohashtag stream live now slourl   slourl,economic
steve ciobo wha good could the carmichael mine possibly do to qlders coal is not innovative slohashtag slohashtag slourl,economic
buying back the shenhua and bhp licences could be a goodsta slomention then theres some spare change for climate change,economic
 slomention if mining damages the water supplies therell be no vote amp no election that can help us slohashtag slohashtag slourl,social
 slomention hoping to sell coal to india slohashtag slohashtag slohashtag slourl,social
 slomention ‘‘if slomention amp slomention can’t protect the most precious farming area then what use are they’’ slohashtag https…,environmental
 slomention as enviro minister slomention approved and reapproved the massive adani coal mine now he says my work is done slourl,environmental
 slomention whats that adani saviour of jobs just not the saviour of  the great barrier reef oh wrong mine slohashtag slourl,environmental
good news 4 slohashtag moodys revises adani coal pos ratings outlook to negative slourl slourl,environmental
 slomention fracking frydenberg is new minister for energy amp environment  the slohashtag will be no barrier to slohashtag amp ginas coal…,social
 slomention great news adani mulling exit well done all who opposed this insane mine slourl slohashtag slohashtag ht…,economic
 slomention adanis carmichael mine will destroy our land and our culture we need to stop them slohashtag slourl ……,environmental
 slomention what’s the next generation going to say if we let this mine destroy the underground water” slohashtag slohashtag https…,social
 slomention after years of approving reefkilling coal projects slomention finally recognised as minister for industry not environment we…,social
 slomention no reason for adani or any new coal mines slohashtag slohashtag slohashtag slourl,environmental
 slomention solar has won even if slohashtag were free to burn power stations couldnt compete slohashtag slohashtag slohashtag https…,economic
 slomention seems its everyone but slomention that care about australian agriculture slohashtag slohashtag slourl,environmental
ciobo says we have a transition plan but you said carmichael mine thats not a transition you dumbass slohashtag slohashtag slohashtag,economic
 slomention narrabri gas proj trojan horse for santoss real intentions which is to slohashtag mine the slohashtag slohashtag https…,economic
 slomention spot the obvious error in this sentence we cant save our water supply because of the constitution slohashtag,social
 slomention slohashtag is well aware its project doesnt stack up financially slohashtag slohashtag slohashtag slohashtag slourl,social
 slomention oh slomention really theres no definite link between coal from adani mine and climate change slourl,social
slohashtag slohashtag mine will destroy our land and our culture we need to stop them slohashtag slourl slohashtag slohashtag,social
 slomention water resources dont understand boundary fences slohashtag could be mining someone elses supply slohashtag slohashtag https…,social
 slomention latest worrying news from the great barrier reef slourl slohashtag slohashtag slohashtag,social
 slomention reminderslomention has ruled out fed  for adani mine on tv at slohashtag not just some pay official https…,social
 slomention our best land should not be used for shoterm gain slomention slohashtag slohashtag slohashtag slohashtag https…,economic
oh  ffs greg hunt no definite link between coal from adani mine and climate change slourl,social
 slomention slohashtag 5 people dead 2 missing after coalmine in guizhou flooded following heavy rain rescue operation underway slourl,environmental
government rules out public funds for adani coal project activists claim  business  the guardian slourl,social
sa is canary in the coalmine even former renewables spruiker has second thoughts  renewables rollback must begin slourl,social
 slomention bhp brains is what they crave but will they find any in their uranium cranium slohashtag slourl,economic
slomention slomention adani blame climate activists for delay but indian minister says no coal impos within 3 yrs slourl,social
 slomention slomention shoen has committed to not funding adani did you know,social
and reaction from slomention etc slohashtag slohashtag slourl,social
 slomention slohashtag mining is massive user of fresh water insanity to approve adani mine when 80 qld in drought slohashtag,social
slohashtag residents take slohashtag slohashtag slohashtag terminal expansion to supreme cou  slourl slomention slohashtag,social
 slomention adani accused former environment minister jairam ramesh of making him and his company a political target slourl,environmental
 slomention coal ship runs aground on great barrier reef  oil spill stretches 3km no more coal  slohashtag slohashtag slohashtag slohashtag https…,social
 slomention george brandis the best chance for economic prosperity in central queensland is the adani coal mine  so innovative and agi…,social
 slomention we want a future in farming to threaten water amp food production for a 30 year mine is just plain stupid slohashtag https…,social
 slomention “with coal in structural decline its economically insane to be sacrificing farm land slohashtag slohashtag slohashtag https…,social
 slomention willow tree against slohashtag and slohashtag save slohashtag slourl,environmental
 slomention turnbull rules out slohashtag funding under pressure from person in a nemo suit thats good right slourl slohashtag,social
 slomention slohashtag slohashtag coalitions transition plan build a new mega coal mine slourl slourl,economic
the most excellent slomention debunks adani stats 10000 jobs lie debunked in cou slohashtag slohashtag slourl,economic
 slomention war on slohashtag santos to drill for csg in new england docs reveal slourl slohashtag slohashtag ht…,environmental
 slomention the future of some of the richest farm land is at risk it should ring alarm bells with any australian” slohashtag https…,environmental
 slomention i found dory shes out at a polling booth for australias federal election slohashtag slomention slourl,social
george brandis jobs of the future hinge on slohashtag slohashtag slomention slomention  slourl slourl,economic
 slomention what slomention intends to do with its donations to slomention slohashtag slohashtag slourl,economic
 slomention 75 surveyed in slohashtag want slohashtag subsidies redirected to essential public services slohashtag slohashtag slohashtag https…,social
 slomention corporate background check ignores foreign environmental offences  fails to assess real risks inc re slohashtag slourl,social
 slomention greg hunt no definite link between coal from adani mine and climate change slourl,environmental
 slomention labor will not suppo slohashtag proposed mega coalmine that threatens slohashtag  slourl slourl,social
slomention if australia was run like a business we wouldnt do adani as too financially risky but were run for business slohashtag,economic
 slomention mike baird to protect greyhounds but not farmersamp water threatened by new coal mines ampcoal seam gas slohashtag slohashtag ht…,social
australias enviro minister everyone slomention no definite link between slohashtag from adani mine amp slohashtag slourl,environmental
from the archive  shenhua mine the federal government could have chosen farming over coal slourl,economic
 slomention successive governments have failed to step in amp do what is needed to protect the slohashtag slohashtag slourl,environmental
 slomention nemo on the election trail getting real results a commitment to no public  for adani slohashtag slohashtag slourl,environmental
 slomention whats that adani saviour of jobs just not the saviour of  the great barrier reef oh wrong mine slohashtag slourl,social
 slomention bhp paid 100m for licence in 2006 give the money back minister robes  save liverpool plains slohashtag  http…,economic
taking down adani is our raison detre we wont let coalfare risk our climate and human wellbeing slohashtag slourl,environmental
 slomention so the man who said there was a strong moral case to proceed with the adani coal mine is now minister for environment and…,environmental
 slomention turnbull rules out slohashtag funding under pressure from person in a nemo suit thats good right slourl slohashtag,economic
 slomention euro close prices slohashtag 12pt to 341 slohashtag 35pts slohashtag 56pts slohashtag 13pts riouk 18 bhpuk 07 slohashtag slohashtag slohashtag,economic
 slomention lnp adani roing in their dna wake up australia slourl slourl,social
 slomention if ever you were talking about an area where unacceptable risks were posed slohashtag would be it slohashtag https…,social
 slomention smh bhp billiton takes 14b hit after samarco dam disaster slourl,economic
bhp files paperwork for potential development of south flank deposit slourl news slohashtag slohashtag,economic
miner south32 cuts more jobs metals player and bhp billiton spinoff south32 is cutting more jobs  this time slourl,economic
 slomention slohashtag says slohashtag slohashtag is state matter  why would donations be so large to federal govt slourl,social
 slomention as of todaypeople now face 7yrs jail for protesting against shenhua coal mine or csg on your land  libsnats 😡  slohashtag,social
the qld government is doing adanis diy business phone their office to find out whats up with that  slourl via slomention,social
 slomention if barnaby wins the seat will be considered safe again amp we will get nothing slohashtag slohashtag slohashtag slourl,social
 slomention australian pm malcolm turnbull asses there will be no public funding for adani’s coal mining project slourl,social
most active exchange traded options calls wow aug 16 2250 bhp oct 16 2200 bhp oct 16 2000 slohashtag slohashtag,economic
adani shown the door by traditional owners but cuis pitt still backs wtf slomention slomention slourl slohashtag,social
slomention slomention slomention  adani is a bust will never happen,economic
 slomention the risks in terms of groundwater systems could be catastrophic slohashtag bhp slohashtag  slohashtag slohashtag https…,environmental
 slomention 12 sept 11 water trigger introduced 15 sept 11 slomention stas donating spree to slomention slohashtag  slohashtag https…,social
 slomention 8 candidates talking slohashtag at slomention forum  this should be a national convo slohashtag slohashtag https…,environmental
slohashtag says slohashtag slohashtag is state matter  why would donations be so large to federal govt slourl,social
slohashtag bhps really in no hurry for jansen potash progress at bhp project in saskatchewa slourl slomention,economic
yes labor liberals lets open adani and burn some more coal great plan old paies great plan slourl,social
 slomention are they really going to give taxpayer  to adani the ins and outs of malcolm turnbull’s expanded cabinet slourl,social
slomention bhp always wondered what all other shit was i pay for   i hope you know how to take a joke lol slohashtag slourl,economic
 slomention slomention adve in todays adelaide adveiser slourl slohashtag slohashtag slohashtag slourl,environmental
 slomention the greens won the booth at breeza on the liverpool plains where shenhua want to put a coal mine slourl,social
bhp consoium amci vie for anglo american coalmines slohashtag the australian slourl,economic
 slomention santos shenhua and bhp can just frack off out of liverpool plains slohashtag slohashtag slourl,environmental
 slomention people round werris creek dont mince their words slohashtag slohashtag slohashtag slourl,social
euro close prices slohashtag 38pt to 346 slohashtag 11pts slohashtag 117pts slohashtag 52pts riouk 007 bhpuk 0067 slohashtag slohashtag slohashtag,economic
 slomention oh dear adani is trending slohashtag,social
 slomention no place for coal mines or a gas field slohashtag slohashtag slohashtag slohashtag slohashtag slourl,environmental
 slomention protestors march on slohashtag olympic dam uranium mine  shut it down slohashtag slohashtag slohashtag slourl,social
 slomention i never agreed with this mine from the sta said slomention slohashtag slohashtag slohashtag slohashtag slourl,social
 slomention so who voted for slohashtag worked for slohashtag amp the slohashtag amp rides a mean surfboard  slohashtag h…,social
dow walma 29 caterpillar 23 dupont 21 europe stoxx 50 07 ftse 06 cac 06 dax 09 london bhp19 rio 1 slohashtag,economic
adani is stealing our natural resources and still expect public funding alp must stop the mining slourl,social
bhp billitons samarco costs top 3 billion slourl slourl slourl,economic
bhp and rio tintos australian shares have soared in comparison to the uk stock the value… slourl slourl,economic
 slomention what other first world country would let a foreign multinational put a slohashtag mine on best farming land slohashtag https…,social
let 100 flowers bloom said slomention but only so slomention could squish them under the carmichael mega mine slomention,environmental
 slomention slomention alp use magenta linas software who dont launder money like slohashtag amp used by ntwa govtsbhp amp numer…,social
 slomention slomention has made clear there will be no public funding for adani mine under a labor government slourl,social
 slomention for slomention farmers r anti nationalsallowed to die for non payment of loans but nationalist adani gets fine waiver…,social
slomention   will worry when i see fleet of chinese tugs towing it back to shanghai along with the shenhua coal mine,social
 slomention i dont suppo the adani mine and neither do the people who suppo it slohashtag slohashtag,social
 slomention winter liverpool plains  bugger off bhp santos shenhua slohashtag slohashtag slourl,social
slohashtag  brazil’s legal fog threatens bhp slourl it’s hard to fathom how liabilities for the samarco dam disaster coul…,economic
bhp coal boss mike henry eyes 820m lift in productivity  the australian slourl,economic
 slomention why did you buy that mongrel country out there is there going to be a coal mine slohashtag slohashtag slomention https…,social
 slomention euro close prices slohashtag 44pt to 348 slohashtag 43pts slohashtag 148pts slohashtag 50pts riouk 1 bhpuk 25 slohashtag slohashtag slohashtag,economic
 slomention buffoon slomention deletes tweet about winning shenhua booth in gunnedah shenhua is 50ks away at breeza greens won the…,social
 slomention qldminister lynham’s adani mine approval gutless amp morally bankrupt approach of govt to traditional owners’ rights slourl,social
 slomention baseload power instability why bhp’s sa power bill hit 25m — in a day slourl slomention,economic
 slomention give it up slomention you qld slohashtag mine just not needed slomention slourl slohashtag slohashtag ht…,social
 slomention another river on fire this time its the nepean at douglas park in sydney amp bhps illawarra coal is the culprit slourl,environmental
8 chinese nationals who were working under adani group at bhadark are asked to leave the country by june 17th slourl,economic
 slomention derek blomfield from slohashtag is not putting slomention first slohashtag slohashtag slourl  http…,social
quit notice to 10 dhamra chinese ten chinese nationals who worked with adani… slourl slourl,economic
há 6 meses acontecia a tragédia no rio doce exijo punição a samarco vale e bhp billiton slohashtag ☞slourl,social
world’s biggest blast at queensland mine slourl slohashtag slohashtag slohashtag slohashtag slohashtag slohashtag,economic
slomention humanity eyy so stopping adani coal and keeping 300m indians without electricity makes sense then slohashtag,social
 slomention the hypocrisy amp duplicity of national pay mps knows no bounds slohashtag slohashtag slohashtag slourl,social
 slomention he didnt stop slohashtag  were better off without slomention slohashtag slohashtag slohashtag slohashtag slohashtag https…,social
 slomention here we go againmatthew canavan unceainty climatechange adani carmichael ‘incredibly exciting’ slohashtag slohashtag slourl,environmental
late life fields may not move needle for exxon and bhp but could provide upside for a specialised late life player slourl,social
 slomention love our liverpool plains billboards slomention  slohashtag slohashtag slohashtag slourl,social
 slomention recall whos pimarily responsible for our environment then see comments re adani coal mine amp climate change slohashtag slourl,environmental
 slomention can we really trust him with our land and water slohashtag slohashtag slohashtag slohashtag slohashtag slohashtag slohashtag https…,social
 slomention huge congratulations to slomention who are in supreme cou today fighting against adanis abbot point slourl,social
 slomention yep just saving the water up ready for slohashtag slohashtag slohashtag to steal and poison slohashtag slohashtag slohashtag slourl,environmental
slohashtag carmichael oh oh the reefs fucked,environmental
facing opposition to domestic coal plant plans adani is desperately trying to reinvent itself as a solar company slourl,environmental
 slomention india cancels four major new coal plants in a move to end coal impos  slohashtag slomention slohashtag slohashtag  slourl,economic
not many companies promising 70 growth in value  bhps andrew mackenzie is slourl via slomention,economic
bhp to spend a12b on exploration in fy17 slourl,economic
we live in hope slohashtag may abandon australian slohashtag mine project  the hindu slourl slohashtag slohashtag slohashtag,social
china to ban coal australia wake up slohashtag slomention slomention slomention slomention slourl,social
 slomention this is our future once the full effect of shenhua goes ahead it will affect the region forever slohashtag slohashtag https…,social
 slomention slomention id hardly describe someone who doesnt see any value in a decent nbn for regional areas as being on the ball…,social
 slomention 0nly 1500 people employed at aust largest coalmine coal not about jobs govt must invest in job creation in knowledge econom…,economic
 slomention hallibuon and the fracking industry just got power to frack australia slohashtag slohashtag slohashtag slourl,social
latest slohashtag press release sees bright future for slohashtag mine in slohashtag slourl,economic
bhpvale joint venture ignored damcollapse risk brazil police find slourl via slomention the big australian slohashtag slohashtag,social
bhp billitons olympic dam copper gold uranium mine is entering a growth slourl slourl,economic
bhp billiton has taken a major step in the march to automated mining by rolling out remotely operated drilling slourl,economic
 slomention no amount of conditions placed on this can disguise what is a disastrous decision slohashtag slohashtag slohashtag https…,social
slomention slomention slomention fabulous so pleased that our qldgov is focused on slohashtag amp slohashtag slohashtag,environmental
australiagt bhp coal boss mike henry eyes 820m lift in productivity  the australian slourl slohashtag,economic
 slomention just had a chat with fella from sth asia forum indian guynice fella adani are gone frm qld coal not a doubt all…,economic
 slomention by pardoning eco terrorists kike adani slourl,environmental
 slomention barnaby had had his chance he has failed us slohashtag slohashtag slohashtag slohashtag slourl,social
 slomention our farmers have fought slohashtag amp slohashtag for 10 years slomention is telling the wrong people to piss off slohashtag https…,social
 slomention adani suppoer complains about taxpayer suppo for solar lol slomention slomention slourl,social
 slomention slomention ‘squirms’ from his pofolio’s responsibilities slohashtag slohashtag slohashtag slohashtag slohashtag ht…,social
 slomention we have a local member who is missing in action slohashtag slohashtag slohashtag slohashtag slohashtag slohashtag slohashtag https…,social
 slomention slomention could save money by rejecting slohashtag and slohashtag slohashtag  slourl,social
signe qld govt knew very well that adani was stuffed and no mine would ever be developed touches nose winks slourl,social
slohashtag bhps really in no hurry for jansen potash progress at bhp project in saskatchewa slourl slomention,economic
 slomention why has slohashtag river in sydney been fractured by bhps appin longwall slohashtag slohashtag gas bubbling up in over 300 loca…,environmental
bhp billiton to open remote ops centre for coal slourl,economic
 slomention looking forward to slomention saving the liverpool plains from coal and coal seam gas slohashtag slohashtag slomention htt…,social
 slomention slohashtag proposed mega coal mine on slohashtag amp slohashtag traditional lands in qld slohashtag update of 5 july 2016 slourl,social
 slomention katter raises funding for galilee basin railway in talks with turnbull propping up adani coal inexcusable slohashtag slourl,social
 slomention when you catch bae kissing santos and shenhua slohashtag slourl,social
bhp billiton limited has announced plans to spend 12 billion in the coming financial year on oil and copper slourl,economic
what exactly is the technical reason terri butler referred to that had qld labor approve adani coal mine slomention slohashtag,social
 slomention the adani coal mine will wreck the reef and do much more harm than good slohashtag,environmental
